line_number,target_node,skipFirst,priority,incoming_scoreEnd
5,69830,1,0,22
6,69831,1,0,22
8,69831,1,0,22
9,69831,0,0,21
11,69831,1,0,22
12,69831,0,0,21
14,69819,0,0,16
15,69820,0,0,16
17,69819,0,0,16
18,69820,0,0,16
20,69816,0,0,15
21,69819,0,0,16
23,69816,0,0,15
24,69819,0,0,16
26,69816,0,0,15
27,69816,0,0,15
29,69816,0,0,15
30,69816,0,0,15
41,69816,1,0,78
42,69816,1,22,44
44,69817,0,1,15
46,69817,0,1,15
54,69817,1,0,78
55,69817,1,44,65
57,69811,0,0,21
58,69812,0,0,21
60,69811,0,0,21
61,69812,0,0,21
63,69808,0,1,20
64,69811,0,0,21
66,69808,0,1,20
67,69811,0,0,21
69,69808,0,1,20
70,69808,0,0,20
72,69808,0,1,20
73,69808,0,0,20
83,69808,1,0,83
84,69808,1,66,87
85,69809,1,66,87
87,69809,1,66,87
88,69809,0,0,20
90,69809,1,66,87
91,69809,0,0,20
99,69809,1,0,83
101,69803,0,0,54
102,69804,0,0,54
104,69803,0,0,54
105,69804,0,0,54
107,69800,0,1,53
108,69803,0,0,54
110,69800,0,1,53
111,69803,0,0,54
113,69800,0,1,53
114,69800,0,0,53
116,69800,0,1,53
117,69800,0,0,53
127,69800,1,0,116
129,69801,0,0,53
131,69801,0,0,53
133,69795,0,0,17
134,69796,0,0,17
136,69795,0,0,17
137,69796,0,0,17
139,69793,0,1,16
140,69795,0,0,17
142,69793,0,1,16
143,69795,0,0,17
145,69793,0,1,16
146,69793,0,0,16
148,69793,0,1,16
149,69793,0,0,16
151,69789,0,0,15
152,69791,0,0,15
154,69789,0,0,15
155,69791,0,0,15
157,69787,0,1,14
158,69789,0,0,15
159,69789,0,1,14
161,69787,0,1,14
162,69789,0,0,15
163,69789,0,1,14
165,69787,0,1,14
166,69787,0,0,13
168,69787,0,1,14
169,69787,0,0,13
171,69783,0,7,8
172,69784,0,7,8
174,69783,0,7,8
175,69784,0,7,8
177,69781,0,8,9
178,69783,0,7,8
180,69781,0,8,9
181,69783,0,7,8
183,69781,0,8,9
184,69781,0,8,9
186,69781,0,8,9
187,69781,0,8,9
189,69777,0,10,11
190,69778,0,10,11
192,69777,0,10,11
193,69778,0,10,11
195,69777,0,10,11
197,69777,0,10,11
216,69781,1,9,74
217,69783,1,8,73
218,69784,1,8,73
219,69787,1,0,76
221,69781,1,9,74
222,69783,1,8,73
223,69783,0,0,58
224,69784,1,8,73
225,69784,0,0,58
227,69781,1,9,74
228,69783,1,8,73
229,69783,0,0,58
230,69784,1,8,73
231,69784,0,0,58
233,69781,1,9,74
234,69781,0,0,57
235,69783,1,8,73
236,69783,0,0,58
238,69781,1,9,74
