target_node,skipFirst
68222,0
68222,1
68223,0
68227,0
68227,1
68229,0
68229,1
68235,0
68235,1
68236,0
68236,1
68237,0
68237,1
68238,0
68238,1
68239,0
68239,1
68241,0
68243,0
68247,0
68247,1
68248,0
68248,1
68249,0
68251,0
68253,0
68255,0
68255,1
68257,0
68257,1
68258,0
68258,1
68262,0
68262,1
68263,0
68263,1
68265,0
68266,0
68273,0
68273,1
68274,0
68274,1
68275,0
68275,1
68276,0
68276,1
68277,0
68279,0
68281,0
68286,0
68286,1
68287,0
68287,1
68288,0
68288,1
68289,0
68289,1
68291,0
68293,0
68296,0
68296,1
68297,0
68297,1
68299,0
68300,0
68306,0
68306,1
68307,0
68307,1
68308,0
68308,1
68309,0
68311,0
68311,1
68313,0
68313,1
68315,0
68315,1
68317,0
68319,0
68321,0
68323,0
68325,0
68326,0
68329,0
68329,1
68331,0
68331,1
68333,0
68333,1
68335,0
68335,1
68337,0
68337,1
68339,0
68339,1
68342,0
68342,1
68343,0
68343,1
68345,0
68347,0
68349,0
68351,0
68353,0
68355,0
68355,1
68357,0
68360,0
68360,1
68361,0
68363,0
68366,0
68366,1
68367,0
68369,0
68371,0
68373,0
68373,1
68375,0
68375,1
68377,0
68377,1
68379,0
68379,1
68381,0
68383,0
68385,0
68385,1
68387,0
68389,0
68391,0
68391,1
68393,0
68394,0
68397,0
68397,1
68399,0
68401,0
68403,0
68405,0
68407,0
68410,0
68410,1
68411,0
68413,0
68413,1
68415,0
68415,1
68417,0
68417,1
68419,0
68420,0
68423,0
68423,1
68425,0
68425,1
68427,0
68427,1
68431,0
68431,1
68432,0
68432,1
68433,0
68433,1
68435,0
68436,0
68442,0
68442,1
68443,0
68443,1
68444,0
68444,1
68445,0
68447,0
68448,0
68451,0
68451,1
68453,0
68454,0
68457,0
68459,0
68461,0
68465,0
68465,1
68466,0
68466,1
68467,0
68469,0
68471,0
68474,0
68474,1
68475,0
68477,0
68477,1
68479,0
68479,1
68481,0
68481,1
68483,0
68483,1
68485,0
68485,1
68487,0
68489,0
68491,0
68493,0
68495,0
68497,0
68499,0
68501,0
68503,0
68509,0
68509,1
68510,0
68510,1
68511,0
68511,1
68512,0
68512,1
68513,0
68515,0
68515,1
68517,0
68517,1
68523,0
68523,1
68524,0
68524,1
68525,0
68525,1
68526,0
68526,1
68527,0
68527,1
68529,0
68536,0
68536,1
68537,0
68537,1
68538,0
68538,1
68539,0
68539,1
68540,0
68540,1
68541,0
68543,0
68543,1
68545,0
68545,1
68547,0
68547,1
68549,0
68551,0
68561,0
68561,1
68562,0
68562,1
68563,0
68563,1
68564,0
68564,1
68565,0
68565,1
68566,0
68566,1
68567,0
68567,1
68568,0
68568,1
68569,0
68569,1
68571,0
68573,0
68575,0
68577,0
68579,0
68583,0
68583,1
68584,0
68584,1
68585,0
68587,0
68589,0
68592,0
68592,1
68593,0
68595,0
68595,1
68597,0
68597,1
68599,0
68599,1
68601,0
68603,0
68607,0
68607,1
68608,0
68608,1
68609,0
68611,0
68612,0
68615,0
68615,1
68617,0
68617,1
68619,0
68619,1
68623,0
68623,1
68624,0
68624,1
68625,0
68625,1
68627,0
68629,0
68631,0
68633,0
68635,0
68637,0
68639,0
68641,0
68643,0
68643,1
68645,0
68645,1
68647,0
68647,1
68649,0
68649,1
68651,0
68653,0
68656,0
68656,1
68657,0
68657,1
68659,0
68660,0
68664,0
68664,1
68665,0
68667,0
68668,0
68673,0
68673,1
68674,0
68674,1
68675,0
68675,1
68677,0
68677,1
68679,0
68679,1
68682,0
68682,1
68683,0
68685,0
68687,0
68691,0
68691,1
68692,0
68692,1
68693,0
68693,1
68695,0
68697,0
68701,0
68701,1
68702,0
68702,1
68703,0
68703,1
68705,0
68707,0
68709,0
68711,0
68713,0
68715,0
68717,0
68717,1
68719,0
68719,1
68720,0
68720,1
68723,0
68723,1
68725,0
68725,1
68727,0
68727,1
68729,0
68729,1
68731,0
68732,0
68736,0
68736,1
68737,0
68739,0
68741,0
68741,1
68743,0
68745,0
68749,0
68749,1
68750,0
68750,1
68751,0
68753,0
68753,1
68755,0
68755,1
68757,0
68757,1
68759,0
68761,0
68765,0
68765,1
68766,0
68766,1
68767,0
68769,0
68769,1
